"id","filename","ident","name","type","frequency_khz","latitude_deg","longitude_deg","elevation_ft","iso_country","dme_frequency_khz","dme_channel","dme_latitude_deg","dme_longitude_deg","dme_elevation_ft","slaved_variation_deg","magnetic_variation_deg","usageType","power","associated_airport",
82,"La_Sarre_NDB_CA","7L","La Sarre","NDB",405,48.9106,-79.1789,1048,"CA",,,,,,,-12.521,"LO","LOW","CSR8"
83,"Iroquois_Falls_NDB_CA","7P","Iroquois Falls","NDB",382,48.7084,-80.7359,,"CA",,,,,,,-11.281,"LO","LOW","CNE4"
84,"Jasper-Hinton_NDB_CA","7V","Jasper-Hinton","NDB",233,53.3211,-117.755,4026,"CA",,,,,,,18.307,"LO","LOW","CEC4"
85,"Carlyle_NDB_CA","8A","Carlyle","NDB",310,49.6456,-102.281,2074,"CA",,,,,,,8.406,"LO","MEDIUM","CJQ3"
86,"Fairview_NDB-DME_CA","8C","Fairview","NDB-DME",295,56.0756,-118.441,2190,"CA",111400,"051X",,,,,19.542,"LO","MEDIUM","CEB5"
87,"Debert_NDB_CA","8F","Debert","NDB",239,45.422,-63.4596,142,"CA",,,,,,,-19.124,"LO","LOW","CCQ3"
88,"Stettler_NDB-DME_CA","8G","Stettler","NDB-DME",286,52.3083,-112.754,2700,"CA",108400,"021X",52.3086,-112.754,2700,,16.01,"LO","LOW","CEJ3"
89,"St_Paul_NDB_CA","8H","St Paul","NDB",375,53.9919,-111.391,2147,"CA",,,,,,,15.474,"LO","MEDIUM","CEW3"
91,"Provost_DME_CA","8J","Provost","DME",109000,52.3336,-110.273,2216,"CA",109000,"027X",,,,,14.401,"LO","LOW","CEH6"
90,"Provost_NDB_CA","8J","Provost","NDB",208,52.3328,-110.273,2216,"CA",,,,,,,14.4,"LO","LOW","CEH6"
92,"Valleyview_NDB_CA","8K","Valleyview","NDB",229,55.0344,-117.289,2450,"CA",,,,,,,19.016,"LO","LOW","CEL5"
93,"Elk_Point_NDB-DME_CA","8M","Elk Point","NDB-DME",414,53.8903,-110.768,1999,"CA",111400,"051X",,,,,15.234,"LO","LOW","CEJ6"
94,"Edson_NDB-DME_CA","8N","Edson","NDB-DME",393,53.5808,-116.455,3066,"CA",109400,"031X",53.58,-116.453,3066,,18.074,"LO","LOW","CYET"
95,"Hanna_NDB_CA","9A","Hanna","NDB",221,51.6278,-111.901,2738,"CA",,,,,,,15.227,"LO","LOW","CEL4"
96,"Sundre_NDB_CA","9G","Sundre","NDB",405,51.78,-114.683,3656,"CA",,,,,,,16.449,"LO","MEDIUM","CFN7"
97,"La_Grande_3_NDB_CA","9H","La Grande 3","NDB",235,53.5738,-76.2008,774,"CA",,,,,,,-17.585,"LO","MEDIUM","CYAD"
98,"Amos_NDB_CA","9Q","Amos","NDB",291,48.5576,-78.2431,1068,"CA",,,,,,,-13.262,"LO","LOW","CYEY"
99,"Powell_River_Bc_DME_CA","9S","Powell River Bc","DME",109300,49.8356,-124.499,425,"CA",109300,"030X",,,,,18.516,"BOTH","LOW","CYPW"
100,"Brooks_NDB-DME_CA","9X","Brooks","NDB-DME",227,50.6322,-111.922,2499,"CA",109800,"035X",,,,,15.068,"LO","LOW","CYBP"
101,"Pincher_Creek_NDB_CA","9Y","Pincher Creek","NDB",311,49.5233,-113.999,,"CA",,,,,,,15.458,"BOTH","LOW","CZPC"
102,"Westlock_NDB-DME_CA","9Z","Westlock","NDB-DME",236,54.1431,-113.748,2230,"CA",108800,"025X",54.1431,-113.749,2230,,17.069,"LO","LOW","CES4"
112,"Almaty_NDB_KZ","A","Almaty","NDB",763,43.3686,77.0739,,"KZ",,,,,,,4.452,"BOTH","MEDIUM",
109,"Almaza_NDB_EG","A","Almaza","NDB",490,30.074,31.3594,,"EG",,,,,,,3.203,"TERMINAL","MEDIUM","HEAZ"
103,"Baku/Bina_NDB_AZ","A","Baku/Bina","NDB",113,40.445,50.0633,19,"AZ",,,,,,,5.26,"TERMINAL","LOW",
